,headline,link_name,num_tweets,num_neg,prop_neg,sis,num_reactions,prop_angry_fb
0,How Samsung Botched Its Galaxy Note 7 Recall,How Samsung Botched Its Galaxy Note 7 Recall,508,52,0.102362204724,0.102004000882,208,0.0
1,"Philippine President Duterte Ordered Killings as Mayor, Witness Says","Philippine President Duterte Ordered Killings as Mayor, Senate Witness Says",91,9,0.0989010989011,0.0973304630897,245,0.102040816327
2,Inmate-Trained Dogs Give Veterans Some Love,Inmate-Trained Dogs Give Veterans Some Love,40,1,0.025,0.0345396444012,143,0.0
3,Bayer-Monsanto Deal Would Forge New Agricultural Force,Bayer-Monsanto Deal Would Forge New Agricultural Force,771,53,0.0687418936446,0.0688649218511,741,0.211875843455
4,Inside the Smithsonian’s New African-American Museum,Inside America's New African-American Museum,97,4,0.0412371134021,0.0443280400905,988,0.00101214574899
5,Philippine leader 'killed man with Uzi','Duterte ordered us to kill',181,27,0.149171270718,0.146129485452,1003,0.0667996011964
6,Manhattan Bombs Provide Trove of Clues; F.B.I. Questions 5 People,Bombs Filled With Shrapnel Give Clues Into New York Explosions,1605,83,0.0517133956386,0.0518609934572,670,0.25671641791
7,Airstrike on Syrian Troops Weakens U.S. Effort to Curb Violence,"How a U.S. Airstrike Missed ISIS, but Damaged U.S. Policy in Syria",371,32,0.0862533692722,0.0861205194471,198,0.151515151515
8,Obama Sees ‘Personal Insult’ if Blacks Don’t Rally for Hillary Clinton,Obama Sees 'Personal Insult' if Blacks Don't Rally for Hillary Clinton,373,15,0.0402144772118,0.0410907823935,4372,0.00846294602013
9,‘We Built an App’: Keeping Track of Louisiana’s Flood-Tossed Tombs,'We Built an App': Keeping Track of Louisiana's Flood-Tossed Tombs,285,4,0.0140350877193,0.0159197346806,355,0.00281690140845
10,Emmy Awards 2016: Emmys Welcome Surprises Along With the Favorites,Emmy Awards 2016: 13 Best and Worst Moments,172,7,0.0406976744186,0.0425282231853,114,0.00877192982456
11,"After Blast, New Yorkers Examine Themselves for Psychological Shrapnel","After Blast, New Yorkers Are Feeling Around for Psychological Shrapnel",150,23,0.153333333333,0.149476519486,568,0.00176056338028
12,F.B.I. Treats Minnesota Mall Stabbing Attack as ‘Potential Act of Terrorism’,F.B.I. Treats Minnesota Mall Stabbing Attack as 'Potential Act of Terrorism',331,7,0.0211480362538,0.0226021269719,127,0.11811023622
